Track name_x,Artist name_x,Album_x,Playlist name_x,Type_x,ISRC,Track name_y,Artist name_y,Album_y,Playlist name_y,Type_y,_merge
,,,,,JPPC01700322,Shinzo wo Sasageyo! - TV Size,Linked Horizon,Shinzo wo Sasageyo! (TV Size),Moi,Playlist,right_only
,,,,,JPPO01618974,Sparkle - movie ver.,RADWIMPS,Your Name.,Moi,Playlist,right_only
,,,,,GBAHS1900672,I Don't Care (with Justin Bieber),Ed Sheeran,No.6 Collaborations Project,Moi,Playlist,right_only
,,,,,GBAHS1701196,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),Moi,Playlist,right_only
,,,,,CA6D21600147,Alone,Marshmello,Alone,Moi,Playlist,right_only
,,,,,GBAHS1900885,Beautiful People (feat. Khalid),Ed Sheeran,Beautiful People (feat. Khalid),Moi,Playlist,right_only
,,,,,JPPC01700575,Shinzo wo Sasageyo!,Linked Horizon,Shingeki no Kiseki,Moi,Playlist,right_only
,,,,,GBAYE2100952,My Universe,Coldplay,My Universe,Moi,Playlist,right_only
,,,,,JPPC02210213,The Rumbling,SiM,The Rumbling,Moi,Playlist,right_only
,,,,,USGF19141510,November Rain,Guns N' Roses,Use Your Illusion I,Moi,Playlist,right_only
,,,,,USAT22202139,About Damn Time,Lizzo,About Damn Time,Moi,Playlist,right_only
,,,,,JPVP00609901,the WORLD,Nightmare,the WORLD Ruler,Moi,Playlist,right_only
,,,,,JPI101501833,THE HERO !! 〜怒れる拳に火をつけろ〜,JAM Project,AREA Z,Moi,Playlist,right_only
,,,,,US5TA2100068,Thunderous,Stray Kids,NOEASY,Moi,Playlist,right_only
,,,,,US5TA2000037,God’s Menu,Stray Kids,GO LIVE,Moi,Playlist,right_only
,,,,,KRA402000111,How You Like That,BLACKPINK,How You Like That,Moi,Playlist,right_only
,,,,,USQX92202129,Sunroof,Nicky Youre,Sunroof,Moi,Playlist,right_only
,,,,,JPPO01618977,Nandemonaiya - movie ver.,RADWIMPS,Your Name.,Moi,Playlist,right_only
,,,,,JPPO01618977,Nandemonaiya - movie ver.,RADWIMPS,Your Name.,Moi,Playlist,right_only
,,,,,JPPC02210021,Akuma no Ko,Higuchi Ai,Akuma no Ko,Moi,Playlist,right_only
,,,,,JPPC02210021,Akuma no Ko,Higuchi Ai,Saiaku Saiai,Moi,Playlist,right_only
