Time,Current,Filtered,Current.1
0.001,6.38206e-10,,
0.002,6.385281e-10,,
0.003,6.38206e-10,,
0.004,6.378839e-10,,
0.005,6.378839e-10,,
0.006,6.378839e-10,,
0.007,6.38206e-10,,
0.008,6.38206e-10,,
0.009,6.378839e-10,,
0.01,6.378839e-10,,
0.011,6.38206e-10,,
0.012,6.38206e-10,,
0.013,6.391722e-10,,
0.014,6.385281e-10,,
0.015,6.388501e-10,,
0.016,6.38206e-10,,
0.017,6.38206e-10,,
0.018,6.385281e-10,,
0.019,6.388501e-10,,
0.02,6.391722e-10,,
0.021,6.391722e-10,,
0.022,6.388501e-10,,
0.023,6.391722e-10,,
0.024,6.394943e-10,,
0.025,6.388501e-10,,
0.026,6.398163e-10,,
0.027,6.391722e-10,,
0.028,6.388501e-10,,
0.029,6.391722e-10,,
0.03,6.391722e-10,,
0.031,6.391722e-10,,
0.032,6.394943e-10,,
0.033,6.391722e-10,,
0.034,6.388501e-10,,
0.035,6.394943e-10,,
0.036,6.394943e-10,,
0.037,6.394943e-10,,
0.038,6.394943e-10,,
0.039,6.391722e-10,,
0.04,6.401384e-10,,
0.041,6.398163e-10,,
0.042,6.394943e-10,,
0.043,6.398163e-10,,
0.044,6.398163e-10,,
0.045,6.398163e-10,,
0.046,6.398163e-10,,
0.047,6.398163e-10,,
0.048,6.398163e-10,,
0.049,6.398163e-10,,
0.05,6.398163e-10,,
0.051,6.398163e-10,,
0.052,6.398163e-10,,
0.053,6.398163e-10,,
0.054,6.398163e-10,,
0.055,6.401384e-10,,
0.056,6.404605e-10,,
0.057,6.404605e-10,,
0.058,6.407825e-10,,
0.059,6.404605e-10,,
0.06,6.401384e-10,,
0.061,6.404605e-10,,
0.062,6.404605e-10,,
0.063,6.404605e-10,,
0.064,6.398163e-10,,
0.065,6.401384e-10,,
0.066,6.401384e-10,,
0.067,6.404605e-10,,
0.068,6.404605e-10,,
0.069,6.404605e-10,,
0.07,6.404605e-10,,
0.071,6.407825e-10,,
0.072,6.404605e-10,,
0.073,6.407825e-10,,
0.074,6.401384e-10,,
0.075,6.401384e-10,,
0.076,6.407825e-10,,
0.077,6.411046e-10,,
0.078,6.407825e-10,,
0.079,6.411046e-10,,
0.08,6.404605e-10,,
0.081,6.411046e-10,,
0.082,6.411046e-10,,
0.083,6.411046e-10,,
0.084,6.407825e-10,,
0.085,6.407825e-10,,
0.086,6.404605e-10,,
0.087,6.404605e-10,,
0.088,6.407825e-10,,
0.089,6.407825e-10,,
0.09,6.411046e-10,,
0.091,6.414267e-10,,
0.092,6.414267e-10,,
0.093,6.411046e-10,,
0.094,6.407825e-10,,
0.095,6.411046e-10,,
0.096,6.407825e-10,,
0.097,6.411046e-10,,
0.098,6.404605e-10,,
0.099,6.407825e-10,,
0.1,6.407825e-10,,
0.101,6.407825e-10,,
0.102,6.411046e-10,,
0.103,6.404605e-10,,
0.104,6.404605e-10,,
0.105,6.411046e-10,,
0.106,6.417488e-10,,
0.107,6.411046e-10,,
0.108,6.414267e-10,,
0.109,6.411046e-10,,
0.11,6.411046e-10,,
0.111,6.411046e-10,,
0.112,6.414267e-10,,
0.113,6.411046e-10,,
0.114,6.411046e-10,,
0.115,6.411046e-10,,
0.116,6.411046e-10,,
0.117,6.404605e-10,,
0.118,6.407825e-10,,
0.119,6.411046e-10,,
0.12,6.411046e-10,,
0.121,6.414267e-10,,
0.122,6.414267e-10,,
0.123,6.417488e-10,,
0.124,6.414267e-10,,
0.125,6.420708e-10,,
0.126,6.417488e-10,,
0.127,6.417488e-10,,
0.128,6.414267e-10,,
0.129,6.417488e-10,,
0.13,6.417488e-10,,
0.131,6.414267e-10,,
0.132,6.417488e-10,,
0.133,6.417488e-10,,
0.134,6.420708e-10,,
0.135,6.417488e-10,,
0.136,6.420708e-10,,
0.137,6.420708e-10,,
0.138,6.423929e-10,,
0.139,6.420708e-10,,
0.14,6.42715e-10,,
0.141,6.423929e-10,,
0.142,6.423929e-10,,
0.143,6.42715e-10,,
0.144,6.43037e-10,,
0.145,6.42715e-10,,
0.146,6.42715e-10,,
0.147,6.423929e-10,,
0.148,6.42715e-10,,
0.149,6.423929e-10,,
0.15,6.43037e-10,,
0.151,6.42715e-10,,
0.152,6.42715e-10,,
0.153,6.43037e-10,,
0.154,6.436812e-10,,
0.155,6.436812e-10,,
0.156,6.436812e-10,,
0.157,6.433591e-10,,
0.158,6.433591e-10,,
0.159,6.440032e-10,,
0.16,6.436812e-10,,
0.161,6.433591e-10,,
0.162,6.433591e-10,,
0.163,6.436812e-10,,
0.164,6.436812e-10,,
0.165,6.436812e-10,,
0.166,6.436812e-10,,
0.167,6.440032e-10,,
0.168,6.443253e-10,,
0.169,6.443253e-10,,
0.17,6.443253e-10,,
0.171,6.449694e-10,,
0.172,6.449694e-10,,
0.173,6.449694e-10,,
0.174,6.449694e-10,,
