Time,Current,Filtered,Current.1,morph_signal,timing_signal
0.001,6.38206e-10,,,6.382489333333333e-10,5.5392000000026024e-14
0.002,6.385281e-10,,,6.3824625e-10,3.8258461538457914e-13
0.003,6.38206e-10,,,6.382438823529412e-10,6.556706586824958e-14
0.004,6.378839e-10,,,6.382596722222222e-10,-2.5113948155543723e-13
0.005,6.378839e-10,,,6.38290747368421e-10,-2.4639840637457785e-13
0.006,6.378839e-10,,,6.3833482e-10,-2.41346268656817e-13
0.007,6.38206e-10,,,6.383746952380952e-10,8.61160039761055e-14
0.008,6.38206e-10,,,6.383963045454545e-10,9.1467626613661e-14
0.009,6.378839e-10,,,6.384300391304348e-10,-2.2529136904762339e-13
0.01,6.378839e-10,,,6.384743833333333e-10,-2.1996095143705057e-13
0.011,6.38206e-10,,,6.384894119999999e-10,1.0777772277223708e-13
0.012,6.38206e-10,,,6.385404461538461e-10,1.1340524233432956e-13
0.013,6.391722e-10,,,6.385638444444445e-10,1.0852216403161633e-12
0.014,6.385281e-10,,,6.385740678571429e-10,4.4704491609080123e-13
0.015,6.388501e-10,,,6.385946931034482e-10,7.752741617356994e-13
0.016,6.38206e-10,,,6.386139433333332e-10,1.3707379310342982e-13
0.017,6.38206e-10,,,6.3864615e-10,1.4359576771651103e-13
0.018,6.385281e-10,,,6.386783566666667e-10,4.725216322516762e-13
0.019,6.388501e-10,,,6.387105633333333e-10,8.003849705304458e-13
0.02,6.391722e-10,,,6.387427699999999e-10,1.1286528949950998e-12
0.021,6.391722e-10,,,6.3879645e-10,1.13512441176473e-12
0.022,6.388501e-10,,,6.3885013e-10,8.188523996080974e-13
0.023,6.391722e-10,,,6.388930733333333e-10,1.147399217221036e-12
0.024,6.394943e-10,,,6.389360166666666e-10,1.4756186705766284e-12
0.025,6.388501e-10,,,6.3897896e-10,8.375261718749486e-13
0.026,6.398163e-10,,,6.3905411e-10,1.8101359024390542e-12
0.027,6.391722e-10,,,6.391077866666666e-10,1.1724331384014914e-12
0.028,6.388501e-10,,,6.3915073e-10,8.567179162609035e-13
0.029,6.391722e-10,,,6.391722e-10,1.185190272373567e-12
0.03,6.391722e-10,,,6.3921514e-10,1.1912373177841616e-12
0.031,6.391722e-10,,,6.392473466666668e-10,1.198210679611637e-12
0.032,6.394943e-10,,,6.393010233333333e-10,1.5269580989330843e-12
0.033,6.391722e-10,,,6.393547e-10,1.211492635658881e-12
0.034,6.388501e-10,,,6.3939764e-10,8.966378509195155e-13
0.035,6.394943e-10,,,6.394298466666666e-10,1.5477576402320828e-12
0.036,6.394943e-10,,,6.394513166666666e-10,1.5543528502414666e-12
0.037,6.394943e-10,,,6.394727866666666e-10,1.5609353281852223e-12
0.038,6.394943e-10,,,6.395049933333334e-10,1.567815718418472e-12
0.039,6.391722e-10,,,6.395264633333334e-10,1.2522725433525477e-12
0.04,6.401384e-10,,,6.395371966666666e-10,2.2247067372473996e-12
0.041,6.398163e-10,,,6.395801400000001e-10,1.9091386538462106e-12
0.042,6.394943e-10,,,6.396016133333334e-10,1.5939674351584852e-12
0.043,6.398163e-10,,,6.396445566666666e-10,1.9230921305181724e-12
0.044,6.398163e-10,,,6.397089699999999e-10,1.929585618408523e-12
0.045,6.398163e-10,,,6.397519133333334e-10,1.936375191570871e-12
0.046,6.398163e-10,,,6.3978412e-10,1.9434599043061656e-12
0.047,6.398163e-10,,,6.398270633333333e-10,1.950223231357619e-12
0.048,6.398163e-10,,,6.3985927e-10,1.9575888252149107e-12
